,start,finish,duration
757,36064.0,36119.0,55.0
758,36089.0,36139.0,50.0
759,36151.0,36198.0,47.0
760,36164.0,36209.0,45.0
761,36263.0,36306.0,43.0
762,36309.0,36360.0,51.0
763,36322.0,36372.0,50.0
764,36417.0,36471.0,54.0
765,36451.0,36500.0,49.0
766,36523.0,36569.0,46.0
767,36542.0,36590.0,48.0
768,36583.0,36628.0,45.0
769,36629.0,36676.0,47.0
770,36634.0,36690.0,56.0
771,36748.0,36795.0,47.0
772,36881.0,36921.0,40.0
773,36912.0,36960.0,48.0
774,37017.0,37067.0,50.0
775,37019.0,37097.0,78.0
776,37070.0,37124.0,54.0
777,37098.0,37144.0,46.0
778,37268.0,37315.0,47.0
779,37321.0,37377.0,56.0
780,37347.0,37405.0,58.0
781,37373.0,37434.0,61.0
782,37375.0,37443.0,68.0
783,37385.0,37470.0,85.0
784,37406.0,37482.0,76.0
785,37432.0,37512.0,80.0
786,37444.0,37513.0,69.0
787,37493.0,37537.0,44.0
788,37576.0,37626.0,50.0
789,37605.0,37657.0,52.0
790,37626.0,37684.0,58.0
791,37631.0,37692.0,61.0
792,37679.0,37728.0,49.0
793,37762.0,37806.0,44.0
794,37812.0,37857.0,45.0
795,37830.0,37880.0,50.0
796,37838.0,37904.0,66.0
797,37840.0,37930.0,90.0
798,37871.0,37942.0,71.0
799,37893.0,37965.0,72.0
800,37900.0,37980.0,80.0
801,37902.0,38010.0,108.0
802,37914.0,38045.0,131.0
803,38010.0,38060.0,50.0
804,38062.0,38107.0,45.0
805,38075.0,38128.0,53.0
806,38133.0,38182.0,49.0
807,38149.0,38198.0,49.0
808,38262.0,38302.0,40.0
809,38329.0,38372.0,43.0
810,38429.0,38472.0,43.0
811,38489.0,38542.0,53.0
812,38510.0,38559.0,49.0
813,38513.0,38577.0,64.0
814,38562.0,38606.0,44.0
815,38685.0,38728.0,43.0
816,38727.0,38767.0,40.0
817,38880.0,38934.0,54.0
818,38903.0,38948.0,45.0
819,38946.0,38990.0,44.0
820,38948.0,39007.0,59.0
